2025-04-11 13:53:48,927 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_00, process: A, location: B
2025-04-11 13:53:48,938 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_01, process: A, location: B
2025-04-11 13:53:48,947 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_02, process: A, location: B
2025-04-11 13:53:48,952 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_03, process: A, location: B
2025-04-11 13:53:48,957 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_04, process: A, location: B
2025-04-11 13:53:48,961 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_05, process: A, location: B
2025-04-11 13:53:48,965 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_06, process: A, location: B
2025-04-11 13:53:48,969 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_07, process: A, location: B
2025-04-11 13:53:48,973 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_08, process: A, location: B
2025-04-11 13:53:48,976 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_09, process: A, location: B
2025-04-11 13:53:48,980 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_10, process: A, location: B
2025-04-11 13:53:48,983 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_11, process: A, location: B
2025-04-11 13:53:48,988 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_12, process: A, location: B
2025-04-11 13:53:48,991 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_13, process: A, location: B
2025-04-11 13:53:48,995 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_14, process: A, location: B
2025-04-11 13:53:48,998 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_15, process: A, location: B
2025-04-11 13:53:49,002 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_16, process: A, location: B
2025-04-11 13:53:49,006 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_17, process: A, location: B
2025-04-11 13:53:49,011 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_18, process: A, location: B
2025-04-11 13:53:49,015 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_19, process: A, location: B
2025-04-11 13:53:49,018 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_20, process: A, location: B
2025-04-11 13:53:49,021 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_21, process: A, location: B
2025-04-11 13:53:49,024 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_22, process: A, location: B
2025-04-11 13:53:49,032 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_23, process: A, location: B
2025-04-11 13:53:49,035 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_24, process: A, location: B
2025-04-11 13:53:49,040 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_25, process: A, location: B
2025-04-11 13:53:49,044 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_26, process: A, location: B
2025-04-11 13:53:49,048 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_27, process: A, location: B
2025-04-11 13:53:49,052 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_28, process: A, location: B
2025-04-11 13:53:49,056 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_29, process: A, location: B
2025-04-11 13:53:49,060 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_30, process: A, location: B
2025-04-11 13:53:49,065 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_31, process: A, location: B
2025-04-11 13:53:49,069 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_32, process: A, location: B
2025-04-11 13:53:49,073 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_33, process: A, location: B
2025-04-11 13:53:49,077 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_34, process: A, location: B
2025-04-11 13:53:49,081 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_35, process: A, location: B
2025-04-11 13:53:49,085 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_36, process: A, location: B
